ESTADO,fechas_2020-03-01,fechas_2020-03-07,fechas_2020-03-11,fechas_2020-03-15,fechas_2020-03-18,fechas_2020-03-22,fechas_2020-03-25,fechas_2020-03-29,fechas_2020-04-01,n_2020-03-01,n_2020-03-07,n_2020-03-11,n_2020-03-15,n_2020-03-18,n_2020-03-22,n_2020-03-25,n_2020-03-29,n_2020-04-01,n_acumulada_2020-03-01,n_acumulada_2020-03-07,n_acumulada_2020-03-11,n_acumulada_2020-03-15,n_acumulada_2020-03-18,n_acumulada_2020-03-22,n_acumulada_2020-03-25,n_acumulada_2020-03-29,n_acumulada_2020-04-01,color_2020-03-01,color_2020-03-07,color_2020-03-11,color_2020-03-15,color_2020-03-18,color_2020-03-22,color_2020-03-25,color_2020-03-29,color_2020-04-01,CODIGO
Ciudad De México,2020-02-27 a 2020-03-01,2020-03-06 a 2020-03-07,2020-03-11 a 2020-03-11,2020-03-12 a 2020-03-15,2020-03-16 a 2020-03-18,2020-03-19 a 2020-03-22,2020-03-23 a 2020-03-25,2020-03-26 a 2020-03-29,2020-03-30 a 2020-04-01,2,1,2,13,6,33,26,115,100,2,3,5,18,24,57,83,198,298,#FEEFE8,#FEEFE8,#FEEFE8,#FEEADF,#FEE3D7,#FCC9B4,#FCAA8D,#E22F26,#67000D,MX09
Colima,2020-02-27 a 2020-03-01,2020-03-06 a 2020-03-07,2020-03-11 a 2020-03-11,2020-03-12 a 2020-03-15,2020-03-16 a 2020-03-18,2020-03-19 a 2020-03-22,2020-03-23 a 2020-03-25,2020-03-26 a 2020-03-29,2020-03-30 a 2020-04-01,0,0,0,0,1,1,0,0,1,0,0,0,0,1,2,2,2,3,#FFF5F0,#FFF5F0,#FFF5F0,#FFF5F0,#FEEFE8,#FEEFE8,#FEEFE8,#FEEFE8,#FEEFE8,MX08
Morelos,2020-02-27 a 2020-03-01,2020-03-06 a 2020-03-07,2020-03-11 a 2020-03-11,2020-03-12 a 2020-03-15,2020-03-16 a 2020-03-18,2020-03-19 a 2020-03-22,2020-03-23 a 2020-03-25,2020-03-26 a 2020-03-29,2020-03-30 a 2020-04-01,0,0,0,0,0,2,0,4,3,0,0,0,0,0,2,2,6,9,#FFF5F0,#FFF5F0,#FFF5F0,#FFF5F0,#FFF5F0,#FEEFE8,#FEEFE8,#FEEFE8,#FEEFE8,MX17
Yucatán,2020-02-27 a 2020-03-01,2020-03-06 a 2020-03-07,2020-03-11 a 2020-03-11,2020-03-12 a 2020-03-15,2020-03-16 a 2020-03-18,2020-03-19 a 2020-03-22,2020-03-23 a 2020-03-25,2020-03-26 a 2020-03-29,2020-03-30 a 2020-04-01,0,0,0,1,7,11,10,12,11,0,0,0,1,8,19,29,41,52,#FFF5F0,#FFF5F0,#FFF5F0,#FEEFE8,#FEEFE8,#FEEADF,#FEE3D7,#FDD3C1,#FCC9B4,MX31
Campeche,2020-02-27 a 2020-03-01,2020-03-06 a 2020-03-07,2020-03-11 a 2020-03-11,2020-03-12 a 2020-03-15,2020-03-16 a 2020-03-18,2020-03-19 a 2020-03-22,2020-03-23 a 2020-03-25,2020-03-26 a 2020-03-29,2020-03-30 a 2020-04-01,0,0,0,0,0,1,1,1,2,0,0,0,0,0,1,2,3,5,#FFF5F0,#FFF5F0,#FFF5F0,#FFF5F0,#FFF5F0,#FEEFE8,#FEEFE8,#FEEFE8,#FEEFE8,MX04
Puebla,2020-02-27 a 2020-03-01,2020-03-06 a 2020-03-07,2020-03-11 a 2020-03-11,2020-03-12 a 2020-03-15,2020-03-16 a 2020-03-18,2020-03-19 a 2020-03-22,2020-03-23 a 2020-03-25,2020-03-26 a 2020-03-29,2020-03-30 a 2020-04-01,0,0,0,4,5,7,18,32,31,0,0,0,4,9,16,34,66,97,#FFF5F0,#FFF5F0,#FFF5F0,#FEEFE8,#FEEFE8,#FEEADF,#FDDDCE,#FCC0A7,#FC9F81,MX21
Quintana Roo,2020-02-27 a 2020-03-01,2020-03-06 a 2020-03-07,2020-03-11 a 2020-03-11,2020-03-12 a 2020-03-15,2020-03-16 a 2020-03-18,2020-03-19 a 2020-03-22,2020-03-23 a 2020-03-25,2020-03-26 a 2020-03-29,2020-03-30 a 2020-04-01,0,0,0,1,5,6,10,16,13,0,0,0,1,6,12,22,38,51,#FFF5F0,#FFF5F0,#FFF5F0,#FEEFE8,#FEEFE8,#FEEADF,#FEE3D7,#FDDDCE,#FCC9B4,MX23
Tlaxcala,2020-02-27 a 2020-03-01,2020-03-06 a 2020-03-07,2020-03-11 a 2020-03-11,2020-03-12 a 2020-03-15,2020-03-16 a 2020-03-18,2020-03-19 a 2020-03-22,2020-03-23 a 2020-03-25,2020-03-26 a 2020-03-29,2020-03-30 a 2020-04-01,0,0,0,0,0,0,1,3,1,0,0,0,0,0,0,1,4,5,#FFF5F0,#FFF5F0,#FFF5F0,#FFF5F0,#FFF5F0,#FFF5F0,#FEEFE8,#FEEFE8,#FEEFE8,MX29
Guerrero,2020-02-27 a 2020-03-01,2020-03-06 a 2020-03-07,2020-03-11 a 2020-03-11,2020-03-12 a 2020-03-15,2020-03-16 a 2020-03-18,2020-03-19 a 2020-03-22,2020-03-23 a 2020-03-25,2020-03-26 a 2020-03-29,2020-03-30 a 2020-04-01,0,0,0,2,0,2,3,6,4,0,0,0,2,2,4,7,13,17,#FFF5F0,#FFF5F0,#FFF5F0,#FEEFE8,#FEEFE8,#FEEFE8,#FEEFE8,#FEEADF,#FEEADF,MX12
Oaxaca,2020-02-27 a 2020-03-01,2020-03-06 a 2020-03-07,2020-03-11 a 2020-03-11,2020-03-12 a 2020-03-15,2020-03-16 a 2020-03-18,2020-03-19 a 2020-03-22,2020-03-23 a 2020-03-25,2020-03-26 a 2020-03-29,2020-03-30 a 2020-04-01,0,0,0,2,0,1,4,7,8,0,0,0,2,2,3,7,14,22,#FFF5F0,#FFF5F0,#FFF5F0,#FEEFE8,#FEEFE8,#FEEFE8,#FEEFE8,#FEEADF,#FEE3D7,MX20
Tabasco,2020-02-27 a 2020-03-01,2020-03-06 a 2020-03-07,2020-03-11 a 2020-03-11,2020-03-12 a 2020-03-15,2020-03-16 a 2020-03-18,2020-03-19 a 2020-03-22,2020-03-23 a 2020-03-25,2020-03-26 a 2020-03-29,2020-03-30 a 2020-04-01,0,0,0,0,1,4,1,27,19,0,0,0,0,1,5,6,33,52,#FFF5F0,#FFF5F0,#FFF5F0,#FFF5F0,#FEEFE8,#FEEFE8,#FEEFE8,#FDDDCE,#FCC9B4,MX27
Chiapas,2020-02-27 a 2020-03-01,2020-03-06 a 2020-03-07,2020-03-11 a 2020-03-11,2020-03-12 a 2020-03-15,2020-03-16 a 2020-03-18,2020-03-19 a 2020-03-22,2020-03-23 a 2020-03-25,2020-03-26 a 2020-03-29,2020-03-30 a 2020-04-01,1,0,0,0,0,1,2,7,5,1,1,1,1,1,2,4,11,16,#FEEFE8,#FEEFE8,#FEEFE8,#FEEFE8,#FEEFE8,#FEEFE8,#FEEFE8,#FEEADF,#FEEADF,MX05
Sonora,2020-02-27 a 2020-03-01,2020-03-06 a 2020-03-07,2020-03-11 a 2020-03-11,2020-03-12 a 2020-03-15,2020-03-16 a 2020-03-18,2020-03-19 a 2020-03-22,2020-03-23 a 2020-03-25,2020-03-26 a 2020-03-29,2020-03-30 a 2020-04-01,0,0,0,0,1,3,0,10,4,0,0,0,0,1,4,4,14,18,#FFF5F0,#FFF5F0,#FFF5F0,#FFF5F0,#FEEFE8,#FEEFE8,#FEEFE8,#FEEADF,#FEEADF,MX26
Chihuahua,2020-02-27 a 2020-03-01,2020-03-06 a 2020-03-07,2020-03-11 a 2020-03-11,2020-03-12 a 2020-03-15,2020-03-16 a 2020-03-18,2020-03-19 a 2020-03-22,2020-03-23 a 2020-03-25,2020-03-26 a 2020-03-29,2020-03-30 a 2020-04-01,0,0,0,0,1,4,1,0,5,0,0,0,0,1,5,6,6,11,#FFF5F0,#FFF5F0,#FFF5F0,#FFF5F0,#FEEFE8,#FEEFE8,#FEEFE8,#FEEFE8,#FEEADF,MX06
Coahuila,2020-02-27 a 2020-03-01,2020-03-06 a 2020-03-07,2020-03-11 a 2020-03-11,2020-03-12 a 2020-03-15,2020-03-16 a 2020-03-18,2020-03-19 a 2020-03-22,2020-03-23 a 2020-03-25,2020-03-26 a 2020-03-29,2020-03-30 a 2020-04-01,1,0,0,0,0,9,2,20,25,1,1,1,1,1,10,12,32,57,#FEEFE8,#FEEFE8,#FEEFE8,#FEEFE8,#FEEFE8,#FEEFE8,#FEEADF,#FDDDCE,#FCC9B4,MX07
Sinaloa,2020-02-27 a 2020-03-01,2020-03-06 a 2020-03-07,2020-03-11 a 2020-03-11,2020-03-12 a 2020-03-15,2020-03-16 a 2020-03-18,2020-03-19 a 2020-03-22,2020-03-23 a 2020-03-25,2020-03-26 a 2020-03-29,2020-03-30 a 2020-04-01,1,0,0,1,0,2,0,15,13,1,1,1,2,2,4,4,19,32,#FEEFE8,#FEEFE8,#FEEFE8,#FEEFE8,#FEEFE8,#FEEFE8,#FEEFE8,#FEEADF,#FDDDCE,MX25
Durango,2020-02-27 a 2020-03-01,2020-03-06 a 2020-03-07,2020-03-11 a 2020-03-11,2020-03-12 a 2020-03-15,2020-03-16 a 2020-03-18,2020-03-19 a 2020-03-22,2020-03-23 a 2020-03-25,2020-03-26 a 2020-03-29,2020-03-30 a 2020-04-01,0,0,0,2,1,2,0,2,0,0,0,0,2,3,5,5,7,7,#FFF5F0,#FFF5F0,#FFF5F0,#FEEFE8,#FEEFE8,#FEEFE8,#FEEFE8,#FEEFE8,#FEEFE8,MX10
Zacatecas,2020-02-27 a 2020-03-01,2020-03-06 a 2020-03-07,2020-03-11 a 2020-03-11,2020-03-12 a 2020-03-15,2020-03-16 a 2020-03-18,2020-03-19 a 2020-03-22,2020-03-23 a 2020-03-25,2020-03-26 a 2020-03-29,2020-03-30 a 2020-04-01,0,0,0,0,0,2,1,2,1,0,0,0,0,0,2,3,5,6,#FFF5F0,#FFF5F0,#FFF5F0,#FFF5F0,#FFF5F0,#FEEFE8,#FEEFE8,#FEEFE8,#FEEFE8,MX32
San Luis Potosí,2020-02-27 a 2020-03-01,2020-03-06 a 2020-03-07,2020-03-11 a 2020-03-11,2020-03-12 a 2020-03-15,2020-03-16 a 2020-03-18,2020-03-19 a 2020-03-22,2020-03-23 a 2020-03-25,2020-03-26 a 2020-03-29,2020-03-30 a 2020-04-01,0,0,0,2,1,9,5,7,7,0,0,0,2,3,12,17,24,31,#FFF5F0,#FFF5F0,#FFF5F0,#FEEFE8,#FEEFE8,#FEEADF,#FEEADF,#FEE3D7,#FDDDCE,MX24
Nuevo León,2020-02-27 a 2020-03-01,2020-03-06 a 2020-03-07,2020-03-11 a 2020-03-11,2020-03-12 a 2020-03-15,2020-03-16 a 2020-03-18,2020-03-19 a 2020-03-22,2020-03-23 a 2020-03-25,2020-03-26 a 2020-03-29,2020-03-30 a 2020-04-01,0,0,1,4,14,16,17,15,11,0,0,1,5,19,35,52,67,78,#FFF5F0,#FFF5F0,#FEEFE8,#FEEFE8,#FEEADF,#FDDDCE,#FCC9B4,#FCC0A7,#FCB59A,MX19
Tamaulipas,2020-02-27 a 2020-03-01,2020-03-06 a 2020-03-07,2020-03-11 a 2020-03-11,2020-03-12 a 2020-03-15,2020-03-16 a 2020-03-18,2020-03-19 a 2020-03-22,2020-03-23 a 2020-03-25,2020-03-26 a 2020-03-29,2020-03-30 a 2020-04-01,0,0,0,0,2,2,2,1,2,0,0,0,0,2,4,6,7,9,#FFF5F0,#FFF5F0,#FFF5F0,#FFF5F0,#FEEFE8,#FEEFE8,#FEEFE8,#FEEFE8,#FEEFE8,MX28
Veracruz,2020-02-27 a 2020-03-01,2020-03-06 a 2020-03-07,2020-03-11 a 2020-03-11,2020-03-12 a 2020-03-15,2020-03-16 a 2020-03-18,2020-03-19 a 2020-03-22,2020-03-23 a 2020-03-25,2020-03-26 a 2020-03-29,2020-03-30 a 2020-04-01,0,0,0,0,2,5,0,17,4,0,0,0,0,2,7,7,24,28,#FFF5F0,#FFF5F0,#FFF5F0,#FFF5F0,#FEEFE8,#FEEFE8,#FEEFE8,#FEE3D7,#FEE3D7,MX30
